Designator,Mid X,Mid Y,Rotation,Layer
C1,151.76,-94.745,90.0,top
C10,171.7014,-64.9986,0.0,top
C11,141.6838,-79.6798,180.0,top
C12,162.8876,-83.2358,180.0,top
C14,146.5,-94.85,90.0,top
C15,157.988,-73.4542,90.0,top
C2,140.6888,-77.9018,180.0,top
C3,136.779,-94.058,90.0,top
C4,141.704,-81.4578,180.0,top
C5,131.23,-94.1,90.0,top
C6,158.3462,-70.0024,180.0,top
C7,174.52,-70.01,0.0,top
C8,126.47,-69.85,0.0,top
C9,172.8242,-75.1332,0.0,top
D1,154.7825,-93.89,0.0,top
D2,140.6,-94.32,270.0,top
D3,175.3108,-73.3806,180.0,top
J1,122.9,-86.55,0.0,top
J2,142.24,-63.5,270.0,top
J3,176.53,-87.19,180.0,top
J4,166.9034,-89.3318,90.0,top
R1,144.02,-67.31,0.0,top
R10,174.49,-80.0,0.0,top
R11,154.535,-97.21,0.0,top
R13,172.1846,-73.66,0.0,top
R14,138.9,-97.11,0.0,top
R2,146.81,-67.31,0.0,top
R3,151.64,-67.31,0.0,top
R4,158.0,-76.0875,270.0,top
R5,149.35,-67.31,0.0,top
R6,141.48,-67.31,0.0,top
R7,138.94,-67.31,0.0,top
R8,136.4,-67.31,0.0,top
R9,169.0,-65.0,0.0,top
U1,149.2025,-94.79,180.0,top
U2,133.9327,-94.0158,180.0,top
U5,150.0,-81.015,270.0,top
U6,167.8375,-79.25,180.0,top
Y1,166.75,-70.0,0.0,top
